order_item_id,order_id,product_id,quantity,unit_price,total_price,order_date,order_status,created_at,updated_at,ingestion_timestamp,source_system
1,100006,B07Z87BZQH,2,20.09,40.18,9/7/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
2,100006,B07HQW5JBH,2,31.74,63.48,9/7/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
3,100006,B07GD1GZS3,2,155.22,310.44,9/7/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
4,100006,B08R1H3Z9F,2,10.27,20.54,9/7/2014,canceled,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
5,100006,B09P595MKX,3,33.66,100.98,9/7/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
6,100090,B0B81SS13R,1,23.54,23.54,7/8/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
7,100090,B07FCQTZ5X,2,37.0,74.0,7/8/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
8,100293,B07NSF965R,2,81.42,162.84,3/14/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
9,100293,B08CN2CM4J,3,96.0,288.0,3/14/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
10,100293,B07CTNMVP2,2,21.04,42.08,3/14/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
11,100293,B0B6B1HFKZ,3,163.39,490.17,3/14/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
12,100293,B005IAB84E,2,76.28,152.56,3/14/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
13,100328,B004T8Z0EA,1,1740.55,1740.55,1/28/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
14,100328,B0756FZPHM,3,16.82,50.46,1/28/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
15,100328,B0F7G3FPV4,1,182.52,182.52,1/28/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
16,100363,B07HWSXNGG,3,129.87,389.61,4/8/2014,canceled,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
17,100363,B083P2RQRB,2,32.49,64.98,4/8/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
18,100391,B07WQ23LF5,3,76.8,230.4,5/25/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
19,100391,B07WCB32VX,2,21.4,42.8,5/25/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
20,100391,B0DJKS84NY,2,28.8,57.6,5/25/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
21,100678,B0CJLWPHM9,3,35.54,106.62,4/18/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
22,100678,B0B2JLLFZK,3,24.16,72.48,4/18/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
23,100706,B0F4XBZRH7,3,161.97,485.91,12/16/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
24,100762,B07CXQPQK7,1,40.43,40.43,11/24/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
25,100762,B07WVWMZ44,1,45.45,45.45,11/24/2014,canceled,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
26,100860,B00JIJ0X24,1,91.0,91.0,3/26/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
27,100860,B081RXJMY6,2,20.95,41.9,3/26/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
28,100860,B0971N96KH,1,10.76,10.76,3/26/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
29,100860,B0D3Z1S26Z,2,74.0,148.0,3/26/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
30,100860,B00HFPIIOI,3,47.0,141.0,3/26/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
31,100867,B08R1K2BZF,1,61.0,61.0,10/19/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
32,100867,B09QHBF1ZC,3,379.0,1137.0,10/19/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
33,100867,B0D81LG57K,3,207.18,621.54,10/19/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
34,100867,B0C3LR5B5G,1,111.0,111.0,10/19/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
35,100881,B09Y49BCWQ,1,88.0,88.0,3/28/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
36,100881,B076HPVGVN,3,150.0,450.0,3/28/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
37,100881,B07YVDM8YT,1,13.17,13.17,3/28/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
38,100895,B0B52X9FSF,2,39.0,78.0,6/2/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
39,100916,B089W8124Z,3,122.0,366.0,10/21/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
40,100916,B07T8H2MPY,2,30.0,60.0,10/21/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
