order_item_id,order_id,product_id,quantity,unit_price,total_price,order_date,order_status,created_at,updated_at
1,100006,B07Z87BZQH,2,20.09,40.18,9/7/2014,completed,08:39.4,08:39.4
2,100006,B07HQW5JBH,2,31.74,63.48,9/7/2014,completed,08:39.4,08:39.4
3,100006,B07GD1GZS3,2,155.22,310.44,9/7/2014,completed,08:39.4,08:39.4
4,100006,B08R1H3Z9F,2,10.27,20.54,9/7/2014,canceled,08:39.4,08:39.4
5,100006,B09P595MKX,3,33.66,100.98,9/7/2014,completed,08:39.4,08:39.4
6,100090,B0B81SS13R,1,23.54,23.54,7/8/2014,completed,08:39.4,08:39.4
7,100090,B07FCQTZ5X,2,37,74,7/8/2014,completed,08:39.4,08:39.4
8,100293,B07NSF965R,2,81.42,162.84,3/14/2014,completed,08:39.4,08:39.4
9,100293,B08CN2CM4J,3,96,288,3/14/2014,completed,08:39.4,08:39.4
10,100293,B07CTNMVP2,2,21.04,42.08,3/14/2014,completed,08:39.4,08:39.4
11,100293,B0B6B1HFKZ,3,163.39,490.17,3/14/2014,completed,08:39.4,08:39.4
12,100293,B005IAB84E,2,76.28,152.56,3/14/2014,completed,08:39.4,08:39.4
13,100328,B004T8Z0EA,1,1740.55,1740.55,1/28/2014,completed,08:39.4,08:39.4
14,100328,B0756FZPHM,3,16.82,50.46,1/28/2014,completed,08:39.4,08:39.4
15,100328,B0F7G3FPV4,1,182.52,182.52,1/28/2014,completed,08:39.4,08:39.4
16,100363,B07HWSXNGG,3,129.87,389.61,4/8/2014,canceled,08:39.4,08:39.4
17,100363,B083P2RQRB,2,32.49,64.98,4/8/2014,completed,08:39.4,08:39.4
18,100391,B07WQ23LF5,3,76.8,230.4,5/25/2014,completed,08:39.4,08:39.4
19,100391,B07WCB32VX,2,21.4,42.8,5/25/2014,completed,08:39.4,08:39.4
20,100391,B0DJKS84NY,2,28.8,57.6,5/25/2014,completed,08:39.4,08:39.4
21,100678,B0CJLWPHM9,3,35.54,106.62,4/18/2014,completed,08:39.4,08:39.4
22,100678,B0B2JLLFZK,3,24.16,72.48,4/18/2014,completed,08:39.4,08:39.4
23,100706,B0F4XBZRH7,3,161.97,485.91,12/16/2014,completed,08:39.4,08:39.4
24,100762,B07CXQPQK7,1,40.43,40.43,11/24/2014,completed,08:39.4,08:39.4
25,100762,B07WVWMZ44,1,45.45,45.45,11/24/2014,canceled,08:39.4,08:39.4
26,100860,B00JIJ0X24,1,91,91,3/26/2014,completed,08:39.4,08:39.4
27,100860,B081RXJMY6,2,20.95,41.9,3/26/2014,completed,08:39.4,08:39.4
28,100860,B0971N96KH,1,10.76,10.76,3/26/2014,completed,08:39.4,08:39.4
29,100860,B0D3Z1S26Z,2,74,148,3/26/2014,completed,08:39.4,08:39.4
30,100860,B00HFPIIOI,3,47,141,3/26/2014,completed,08:39.4,08:39.4
31,100867,B08R1K2BZF,1,61,61,10/19/2014,completed,08:39.4,08:39.4
32,100867,B09QHBF1ZC,3,379,1137,10/19/2014,completed,08:39.4,08:39.4
33,100867,B0D81LG57K,3,207.18,621.54,10/19/2014,completed,08:39.4,08:39.4
34,100867,B0C3LR5B5G,1,111,111,10/19/2014,completed,08:39.4,08:39.4
35,100881,B09Y49BCWQ,1,88,88,3/28/2014,completed,08:39.4,08:39.4
36,100881,B076HPVGVN,3,150,450,3/28/2014,completed,08:39.4,08:39.4
37,100881,B07YVDM8YT,1,13.17,13.17,3/28/2014,completed,08:39.4,08:39.4
38,100895,B0B52X9FSF,2,39,78,6/2/2014,completed,08:39.4,08:39.4
39,100916,B089W8124Z,3,122,366,10/21/2014,completed,08:39.4,08:39.4
40,100916,B07T8H2MPY,2,30,60,10/21/2014,completed,08:39.4,08:39.4
41,100972,B0DS6P76VL,1,1365,1365,11/19/2014,completed,08:39.4,08:39.4
42,100972,B0C53VVVRZ,2,179,358,11/19/2014,completed,08:39.4,08:39.4
43,100972,B0CPPGG3TM,2,45.08,90.16,11/19/2014,completed,08:39.4,08:39.4
44,101147,B08BZQ5N7V,3,399,1197,12/2/2014,completed,08:39.4,08:39.4
45,101147,B0007T5JFU,1,114.37,114.37,12/2/2014,completed,08:39.4,08:39.4
46,101175,B0793G9MDM,2,96.41,192.82,12/9/2014,completed,08:39.4,08:39.4
47,101175,B012NW0J30,3,60,180,12/9/2014,completed,08:39.4,08:39.4
48,101175,B08LNQ5GT3,1,59.12,59.12,12/9/2014,completed,08:39.4,08:39.4
49,101266,B0BFPHHJRL,1,20.11,20.11,8/27/2014,completed,08:39.4,08:39.4
50,101266,B01MUHB2Z1,3,120,360,8/27/2014,completed,08:39.4,08:39.4
51,101266,B0823GNMYY,2,19,38,8/27/2014,completed,08:39.4,08:39.4
52,101266,B0088IBGFE,1,137,137,8/27/2014,canceled,08:39.4,08:39.4
53,101266,B098YPZPXV,3,90,270,8/27/2014,completed,08:39.4,08:39.4
54,101364,B09XN61S41,1,66,66,12/22/2014,completed,08:39.4,08:39.4
55,101364,B01N39ONJM,2,148.51,297.02,12/22/2014,completed,08:39.4,08:39.4
56,101364,B09QMVSLDP,3,151.83,455.49,12/22/2014,completed,08:39.4,08:39.4
57,101364,B0C3MV2GZ4,2,173.06,346.12,12/22/2014,completed,08:39.4,08:39.4
58,101364,B0CFDR5DT2,1,149,149,12/22/2014,completed,08:39.4,08:39.4
59,101392,B09F3PL676,1,22.98,22.98,12/7/2014,completed,08:39.4,08:39.4
60,101427,B091W4DVQV,1,98.25,98.25,12/26/2014,completed,08:39.4,08:39.4
61,101462,B0CQPH9GDC,2,90,180,4/20/2014,completed,08:39.4,08:39.4
62,101462,B0D9QYY43Y,2,325,650,4/20/2014,completed,08:39.4,08:39.4
63,101462,B0849F7YJ7,1,79.77,79.77,4/20/2014,completed,08:39.4,08:39.4
64,101462,B01GH5GM5S,3,178.98,536.94,4/20/2014,completed,08:39.4,08:39.4
65,101462,B0F2GBL5Q1,1,299,299,4/20/2014,completed,08:39.4,08:39.4
66,101476,B09GPMSGP2,3,17.59,52.77,9/12/2014,completed,08:39.4,08:39.4
67,101476,B07XQJHDX4,2,142.25,284.5,9/12/2014,completed,08:39.4,08:39.4
68,101476,B0B7W5CY4H,1,373.53,373.53,9/12/2014,completed,08:39.4,08:39.4
69,101560,B0BTJ7LV98,1,18,18,11/28/2014,completed,08:39.4,08:39.4
70,101560,B0FGXPYM2L,2,48.99,97.98,11/28/2014,completed,08:39.4,08:39.4
71,101560,B0C7R3JB1R,1,58,58,11/28/2014,completed,08:39.4,08:39.4
72,101560,B0F1D9YC7F,2,235.95,471.9,11/28/2014,completed,08:39.4,08:39.4
73,101602,B08DD8NMF8,2,35,70,12/15/2014,completed,08:39.4,08:39.4
74,101602,B08T1G3KZC,2,94,188,12/15/2014,completed,08:39.4,08:39.4
75,101602,B011V51LSW,3,40.16,120.48,12/15/2014,completed,08:39.4,08:39.4
76,101770,B0DT9P7BZ2,2,19.28,38.56,3/31/2014,completed,08:39.4,08:39.4
77,101770,B09G6ZNLHX,3,19.01,57.03,3/31/2014,completed,08:39.4,08:39.4
78,101770,B0CTQQPKDR,3,41,123,3/31/2014,completed,08:39.4,08:39.4
79,101770,B09TLBB18H,3,15.58,46.74,3/31/2014,completed,08:39.4,08:39.4
80,101770,B076D3L7P8,1,89,89,3/31/2014,completed,08:39.4,08:39.4
81,101833,B08F4ZQ57T,1,18.16,18.16,11/17/2014,completed,08:39.4,08:39.4
82,101833,B0CQM6NBFJ,3,202.3,606.9,11/17/2014,completed,08:39.4,08:39.4
83,101833,B06XKXTDLS,3,52,156,11/17/2014,completed,08:39.4,08:39.4
84,101833,B08GGVYY8V,2,22.94,45.88,11/17/2014,completed,08:39.4,08:39.4
85,101833,B0DG8JFHZ2,3,52.14,156.42,11/17/2014,completed,08:39.4,08:39.4
86,101931,B0C2PG3C8D,2,43.55,87.1,10/28/2014,completed,08:39.4,08:39.4
87,101931,B09N1L65GY,2,35.17,70.34,10/28/2014,completed,08:39.4,08:39.4
88,101931,B0C1RRTHY7,1,116,116,10/28/2014,completed,08:39.4,08:39.4
