id,order_date,ship_mode,customer_id,sales
100006,9/7/2014,Standard,982,377.97
100090,7/8/2014,Standard,970,699.192
100293,3/14/2014,Standard,786,91.056
100328,1/28/2014,Standard,765,3.928
100363,4/8/2014,Standard,955,21.376
100391,5/25/2014,Standard,667,14.62
100678,4/18/2014,Standard,98,697.074
100706,12/16/2014,Second,894,129.44
100762,11/24/2014,Standard,314,508.62
100860,3/26/2014,Second,275,18.75
100867,10/19/2014,Standard,889,321.552
100881,3/28/2014,Standard,383,302.376
100895,6/2/2014,Standard,615,605.47
100916,10/21/2014,Standard,639,788.86
100972,11/19/2014,Second,881,166.44
101147,12/2/2014,First,113,2.394
101175,12/9/2014,Standard,715,100.704
101266,8/27/2014,Second,414,13.36
101364,12/22/2014,Standard,266,296.712
101392,12/7/2014,Standard,514,269.36
101427,12/26/2014,Standard,654,8.016
101462,4/20/2014,Standard,156,59.92
101476,9/12/2014,First,812,69.99
101560,11/28/2014,Second,793,542.34
101602,12/15/2014,First,599,803.96
101770,3/31/2014,Standard,964,1.869
101833,11/17/2014,Second,569,34.44
101931,10/28/2014,First,336,1252.602
102008,9/30/2014,Standard,675,48.94
102085,10/4/2014,Standard,615,29.24
102274,11/21/2014,Standard,469,865.5
102295,11/24/2014,Second,555,120.712
102330,12/29/2014,Standard,998,408.768
102645,1/23/2014,Standard,349,40.08
102652,4/6/2014,Standard,217,199.99
102673,11/1/2014,Standard,211,1044.44
102869,9/9/2014,Second,595,233.244
102988,4/5/2014,Second,639,4251.92
103058,7/23/2014,First,955,99.98
103086,10/17/2014,Second,534,5.312
103100,12/20/2014,First,780,1107.66
103191,9/22/2014,Standard,622,331.536
103219,11/9/2014,Standard,852,56.52
103310,5/10/2014,Standard,208,1769.784
103317,7/5/2014,First,679,242.546
103331,8/26/2014,Standard,124,31.4
103366,1/15/2014,First,296,149.95
103373,5/18/2014,Standard,956,779.796
103401,11/21/2014,Standard,254,12.96
103429,5/30/2014,First,302,765.494
103492,10/10/2014,Standard,696,1488.774
103527,9/9/2014,Second,458,10.896
103590,11/30/2014,Standard,29,62.28
103660,8/25/2014,Standard,579,1007.944
103702,9/12/2014,Standard,651,63.924
103744,2/23/2014,Standard,473,11.364
103800,1/3/2014,Standard,999,16.448
103807,12/2/2014,Standard,527,21.19
103849,5/11/2014,Standard,490,225.016
103940,9/17/2014,Standard,907,260.79
103989,3/19/2014,First,326,590.762
104178,8/25/2014,Standard,60,176.14
104269,3/1/2014,Second,4,457.568
104283,6/27/2014,Standard,962,616.14
104402,6/17/2014,Standard,814,65.97
104472,6/2/2014,Standard,635,133.128
104563,3/7/2014,Standard,152,1143.822
104738,12/30/2014,Second,281,609.614
104773,12/8/2014,Standard,523,60.416
104780,5/21/2014,Standard,199,31.84
104808,2/4/2014,Second,941,17.248
104829,11/18/2014,Second,532,21.98
104976,12/9/2014,Standard,286,34.68
105165,9/7/2014,First,656,469.043
105172,4/4/2014,Standard,80,18.9
105249,11/28/2014,Same Day,304,460.092
105270,11/11/2014,Standard,897,143.128
105340,11/22/2014,First,364,6.928
105417,1/7/2014,Standard,576,87.158
105648,3/3/2014,Standard,845,626.352
105872,5/30/2014,Standard,394,70.368
105893,11/11/2014,Standard,748,665.88
105984,11/24/2014,Same Day,29,1661.028
106054,1/6/2014,First,327,12.78
106229,6/7/2014,Second,276,268.935
106264,12/26/2014,Standard,110,15.39
106376,12/5/2014,Standard,267,1280.992
106439,10/31/2014,Standard,495,1007.936
106572,9/5/2014,Standard,983,264.32
106719,8/24/2014,Same Day,928,8.288
106726,12/6/2014,First,913,1261.33
106803,12/29/2014,Standard,137,144.36
106810,5/14/2014,Standard,990,310.88
106971,9/2/2014,Standard,887,475.944
107139,7/5/2014,Standard,177,180.96
107153,9/28/2014,Standard,74,46.26
107181,2/4/2014,Standard,78,117.136
107398,8/25/2014,Standard,643,30.246
107454,11/2/2014,Standard,135,124.2
107524,3/2/2014,Standard,154,47.76
107573,12/12/2014,Standard,966,23.472
107594,7/2/2014,Standard,391,79.56
107706,2/14/2014,Second,720,16.176
107755,2/7/2014,Standard,283,115.36
107769,10/28/2014,Standard,725,257.98
107811,4/29/2014,Standard,322,661.504
107818,9/8/2014,Standard,989,1771.52
107916,8/24/2014,First,731,25.952
108147,6/8/2014,Standard,818,1745.36
108182,2/6/2014,Second,15,8.952
108189,10/2/2014,First,15,598.144
108273,12/16/2014,Standard,722,92.856
108609,10/31/2014,Second,164,1421.664
108707,10/24/2014,Standard,192,10.368
108861,5/28/2014,Standard,524,136.96
108903,10/3/2014,Same Day,253,212.952
109043,8/15/2014,First,484,243.6
109127,12/21/2014,Standard,407,17.28
109134,11/5/2014,Standard,339,20.04
109218,6/30/2014,Second,521,32.4
109232,1/13/2014,Second,260,545.94
109302,8/12/2014,Standard,611,196.21
109491,2/20/2014,Standard,360,82.63
109680,10/6/2014,First,646,386.34
109855,9/1/2014,Standard,277,380.744
109890,7/21/2014,Standard,959,35.98
109897,8/12/2014,Standard,768,891.776
109904,7/14/2014,Second,338,17.94
109918,9/7/2014,Second,807,131.84
109932,12/9/2014,First,644,247.784
110030,12/6/2014,Second,466,23.976
110065,8/5/2014,Standard,87,151.95
110072,10/22/2014,Standard,892,93.888
110100,4/25/2014,Standard,201,302.376
110184,7/12/2014,Standard,987,505.686
110219,5/5/2014,First,109,127.869
110352,11/23/2014,Standard,840,23.68
110408,10/18/2014,Second,170,2216.8
110422,1/21/2014,Second,641,25.248
110527,8/9/2014,Standard,131,20.88
110555,4/11/2014,Standard,531,410.104
